GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
UIAMIDVALE     ,1-Nov-23,1-Nov-23,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Dec-23,1-Dec-23,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jan-24,1-Jan-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Feb-24,1-Feb-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Mar-24,1-Mar-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Apr-24,1-Apr-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-May-24,1-May-24,25,Schofield877 20 - YEAR         
PHILLIPS51888  ,26-Jul-15,1-Jul-15,30,EPIV00000051036                
UIAMIDVALE     ,1-Jun-24,1-Jun-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jul-24,1-Jul-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Aug-24,1-Aug-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Sep-24,1-Sep-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Oct-24,1-Oct-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Nov-24,1-Nov-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Dec-24,1-Dec-24,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jan-25,1-Jan-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Feb-25,1-Feb-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Mar-25,1-Mar-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Apr-25,1-Apr-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-May-25,1-May-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jun-25,1-Jun-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jul-25,1-Jul-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Aug-25,1-Aug-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Sep-25,1-Sep-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Oct-25,1-Oct-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Nov-25,1-Nov-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Dec-25,1-Dec-25,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jan-26,1-Jan-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Feb-26,1-Feb-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Mar-26,1-Mar-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Apr-26,1-Apr-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-May-26,1-May-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jun-26,1-Jun-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jul-26,1-Jul-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Aug-26,1-Aug-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Sep-26,1-Sep-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Oct-26,1-Oct-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Nov-26,1-Nov-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Dec-26,1-Dec-26,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jan-27,1-Jan-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Feb-27,1-Feb-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Mar-27,1-Mar-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Apr-27,1-Apr-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-May-27,1-May-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jun-27,1-Jun-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jul-27,1-Jul-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Aug-27,1-Aug-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Sep-27,1-Sep-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Oct-27,1-Oct-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Nov-27,1-Nov-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Dec-27,1-Dec-27,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jan-28,1-Jan-28,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Feb-28,1-Feb-28,25,Schofield877 20 - YEAR         
OSWALD52050    ,26-Jul-15,1-Jul-15,30,EPIV00000049772                
KING50946      ,26-Jul-15,1-Jul-15,30,EPIV00000049946                
HARDING52237   ,26-Jul-15,1-Jul-15,30,EPIV00000049967                
LEATHAM53074   ,26-Jul-15,1-Jul-15,30,EPIV00000050254                
JENKINS52899   ,26-Apr-15,1-Apr-15,31.5,EPIV00000042829                
RICE52511      ,26-Apr-15,1-Apr-15,30,EPIV00000042858                
BLACK52364     ,26-Apr-15,1-Apr-15,30,EPIV00000042886                
FRITZ52463     ,26-Apr-15,1-Apr-15,30,EPIV00000042956                
BAILEY1914     ,25-Mar-13,1-Mar-13,2.62,Contract UIAR8522              
BEAN1651       ,25-Mar-13,1-Mar-13,30,Contract UIAL5108BF            
BILLS1843      ,25-Mar-13,1-Mar-13,30,Contract UIAL8799DB            
BIRCH1800      ,25-Mar-13,1-Mar-13,30,Contract UIAL3543ET            
BLACK2983      ,25-Mar-13,1-Mar-13,30,Contract UIAL4006JC            
BRIDGE2781     ,25-Mar-13,1-Mar-13,30,Contract UIAL9741MB            
CANO2741       ,25-Mar-13,1-Mar-13,30,Contract UIAL3254JC            
HEATH53191     ,26-Jul-15,1-Jul-15,30,EPIV00000050734                
UIALINDON      ,1-Jan-17,1-Jan-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Feb-17,1-Feb-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Mar-17,1-Mar-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Apr-17,1-Apr-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-May-17,1-May-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Jun-17,1-Jun-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Jul-17,1-Jul-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Aug-17,1-Aug-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Sep-17,1-Sep-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Oct-17,1-Oct-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Nov-17,1-Nov-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Dec-17,1-Dec-17,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Jan-18,1-Jan-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Feb-18,1-Feb-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Mar-18,1-Mar-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Apr-18,1-Apr-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-May-18,1-May-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Jun-18,1-Jun-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Jul-18,1-Jul-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Aug-18,1-Aug-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Sep-18,1-Sep-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Oct-18,1-Oct-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Nov-18,1-Nov-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Dec-18,1-Dec-18,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Jan-19,1-Jan-19,30,Rasband549 10 - YEAR           
POOLE3461      ,25-Apr-15,1-Apr-15,30,EPIV00000044077                
