GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
FURGASON55858  ,1-May-2016,26-May-2016,31.50,EPIV00000082448      
FURNESS53845   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150496      
FURNESS53958   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152045      
FURSE50351     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148544      
FURSE56144     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151000      
GABBITAS56334  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149987      
GABBITAS57129  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151395      
GABRIEL51818   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149076      
GABRIEL59726   ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000153124      
GAIL2901       ,1-Sep-2012,25-Sep-2012,25.00,SCHED00002615        
GAIL2901       ,1-Jan-2013,25-Jan-2013,25.00,SCHED00007847        
GAIL2901       ,1-Nov-2012,25-Nov-2012,25.00,SCHED00004627        
GAIL2901       ,1-Aug-2012,1-Aug-2012,25.00,SCHED00001733        
GAIL2901       ,1-Dec-2012,25-Dec-2012,25.00,SCHED00006484        
GAIL2901       ,1-Oct-2012,25-Oct-2012,25.00,SCHED00003568        
GAJEWSKY2069   ,1-Jul-2017,26-Jul-2017,25.00,EPIV00000151596      
GALE51280      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150163      
GALE52280      ,1-Oct-2016,26-Oct-2016,30.00,EPIV00000100957      
GALE52280      ,1-Nov-2016,26-Nov-2016,30.00,EPIV00000105527      
GALE52280      ,1-Sep-2016,26-Sep-2016,30.00,EPIV00000096531      
GALE55727      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149508      
GALENTINE1589  ,1-Jul-2017,26-Jul-2017,7.50,EPIV00000148229      
GALLAGHER9179  ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000148522      
GALLEGOS52799  ,1-Apr-2016,26-Apr-2016,30.00,EPIV00000078644      
GALLEGOS52799  ,1-May-2016,26-May-2016,30.00,EPIV00000082368      
GALLEGOS52799  ,1-Jun-2016,26-Jun-2016,30.00,EPIV00000086263      
GALLEGOS52799  ,1-Mar-2016,26-Mar-2016,30.00,EPIV00000075071      
GALLEGOS54647  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148706      
GALVAN59429    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150596      
GALVAS57358    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149292      
GAMBLE51864    ,1-Nov-2014,26-Nov-2014,30.00,EPIV00000032712      
GAMBLE51864    ,1-Oct-2014,26-Oct-2014,30.00,EPIV00000030676      
GAMBLE51864    ,1-Aug-2014,26-Aug-2014,30.00,EPIV00000026738      
GAMBLE51864    ,1-Sep-2014,26-Sep-2014,30.00,EPIV00000028684      
GAMON1795      ,1-May-2017,26-May-2017,30.00,EPIV00000136218      
GARBETT52527   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147675      
GARBETT56775   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152123      
GARBETT56775   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146107      
GARCIA0566     ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000152240      
GARCIA0880     ,1-Apr-2017,26-Apr-2017,15.00,EPIV00000134503      
GARCIA0880     ,1-Jun-2017,26-Jun-2017,15.00,EPIV00000145928      
GARCIA0880     ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000151933      
GARCIA0880     ,1-Mar-2017,26-Mar-2017,15.00,EPIV00000129013      
GARCIA0880     ,1-May-2017,26-May-2017,15.00,EPIV00000140113      
GARCIA1767     ,1-Jan-2017,26-Jan-2017,30.00,EPIV00000119241      
GARCIA1767     ,1-Nov-2016,26-Nov-2016,30.00,EPIV00000109417      
GARCIA1767     ,1-Sep-2016,26-Sep-2016,30.00,EPIV00000100181      
GARCIA1767     ,1-Dec-2016,26-Dec-2016,30.00,EPIV00000114250      
GARCIA1767     ,1-Feb-2017,26-Feb-2017,30.00,EPIV00000124423      
GARCIA1767     ,1-Oct-2016,26-Oct-2016,30.00,EPIV00000104727      
GARCIA4010     ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000147695      
GARCIA4010     ,1-Jun-2017,25-Jun-2017,30.00,EPIV00000141829      
GARCIA54113    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153059      
GARCIA54878    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153136      
